date_creation,activite,nom,raison_sociale,commune,cp,adresse,dirigeant,siret,mois_ouverture
2026-08-01,Traiteur,RITA POIRIER (ROLNIN) (POIRIER RITA),RITA POIRIER (ROLNIN) (POIRIER RITA),Avon,77210,RESIDENCE LA CHATELAINE 16 RUE DE LA GARE 77210 AVON,RITA CYPRIENNE POIRIER (ROLNIN),82172071100026,0
2026-07-01,Restauration rapide,MR BOMS,M. BOMS 2 (MR BOMS),Avon,77210,36 B AVENUE FRANKLIN ROOSEVELT 77210 AVON,JONATHANN BEAUMONT,10278911200012,1
2026-07-01,Restaurant traditionnel,ERIC POIRIER (POIRIER ERIC),ERIC POIRIER (POIRIER ERIC),Avon,77210,RESIDENCE LA CHATELAINE 16 RUE DE LA GARE 77210 AVON,ERIC FRANCOIS GEORGES POIRIER,81456338300029,1
2026-07-01,Restauration rapide,ZINE EL MAGAES (ICY'Z),ZINE EL MAGAES (ICY'Z),Vaux-Le-Penil,77000,APPT 1210 1 RES DE LA FONTAINE SAINT MARC 77000 VAUX-LE-PENIL,ZINE EL MAGAES,10368996400015,1
2026-07-01,Restauration rapide,INESS TCHICAYA,INESS TCHICAYA,Melun,77000,142 RUE DIAN FOSSEY 77000 MELUN,INESS AUDREY EDWIGE TCHICAYA,10671057700011,1
2026-07-01,Restaurant traditionnel,ALESSANDRO CORBELLI,ALESSANDRO CORBELLI,Melun,77000,14 RUE PAUL DOUMER 77000 MELUN,ALESSANDRO CORBELLI,10693384900015,1
2026-06-29,Restauration rapide,MATEOS ATIA,MATEOS ATIA,Buthiers,77760,13 RUE DU PLATEAU 77760 BUTHIERS,MATEOS ATIA,10707725700015,1
2026-06-17,Bar / debit de boissons,LOUISON DARNAY,LOUISON DARNAY,Recloses,77760,38 B RUE DES CANCHES 77760 RECLOSES,LOUISON LANCELOT ANDRE DARNAY,81960125300027,1
2026-06-08,Restauration rapide,FOOD SEFA,FOOD SEFA,Melun,77000,56 AVENUE DE MEAUX 77000 MELUN,YUNUS SIMSEK,10654518900016,2
2026-06-01,Restauration rapide,IL RITROVO,B&A SIGNATURE (IL RITROVO),Fontainebleau,77300,28 RUE DE LA PAROISSE 77300 FONTAINEBLEAU,"GAËLLE CLAUDE AMADOR, CHRISTIAN BARLETTA",10475122700018,2
2026-06-01,Restauration rapide,M.A. KAP SP (MA KAP SP),M.A. KAP SP (MA KAP SP),Moret-Loing-Et-Orvanne,77250,ECUELLES 17 B PLACE DE L'EGLISE 77250 MORET-LOING-ET-ORVANNE,MAGALI ANGÈLE MARIANNE PELLEGRIN,10412973900017,2
2026-06-01,Restauration rapide,KIOSQUE A PIZZA,M.A. KAP SP (MA KAP SP),Saint-Pierre-Les-Nemours,77140,PARKING DE CARREFOUR MARKET RUE DE LARCHANT 77140 SAINT-PIERRE-LES-NEMOURS,MAGALI ANGÈLE MARIANNE PELLEGRIN,10412973900025,2
2026-06-01,Restauration rapide,CERAMILLE,CERAMILLE,Milly-La-Foret,91490,44 GRANDE RUE 91490 MILLY-LA-FORET,"MARJORIE ELISABETH ALINE VERNET (COUSSERAND), PAULINE GENEVIEVE MUGUETTE COUSSERAND",10511672700014,2
2026-05-28,Restaurant traditionnel,HUGUES PASTORET,HUGUES PASTORET,La Rochette,77000,7 RUE HENRI MATISSE 77000 LA ROCHETTE,HUGUES PATRICE GEORGES PASTORET,10563603900015,2
