categorie,nom,commune,tel,fb,km,kind
Antiquites,La Ferme du Mée Antiquité Brocante,Le Mée-sur-Seine,01 64 37 09 77,,15.5,antiques
Bar,Le Tire Bouchon,Boigneville,01 64 99 47 30,,24.8,bar
Bar,Brasserie Clos Saint-Jean,Saint-Pierre les Nemours,01 64 78 37 43,,14.9,bar
Bar,Le Balto,Vert-Saint-Denis,01 60 63 37 85,,19.1,bar
Bar,Le Saint-Denis (Bar - Brasserie - Restaurant),Vert-Saint-Denis,01 64 39 82 28,,18.7,bar
Boucherie,Charcuterie de l'abbaye,Dammarie-les-Lys,01 64 37 18 23,,13.3,butcher
Boucherie,Chez Jérome,Saint-Mammès,01 64 31 12 74,,7.5,butcher
Boucherie,Boucherie Orientale,Saint-Pierre-lès-Nemours,01 75 15 48 07,,15.0,butcher
Boucherie,Boucherie du Boeuf Tricolore,Saint-Pierre-lès-Nemours,01 64 45 50 52,,14.9,butcher
Boulangerie,Au rocher d'Avon,Avon,01 64 22 13 75,,1.7,bakery
Boulangerie,Les Délices de Bois Le Roi,Bois-le-Roi,01 64 09 71 70,,7.9,bakery
Boulangerie,Saveurs et traditions,Bourron-Marlotte,01 64 78 10 05,,7.2,bakery
Boulangerie,La douce Tradition,Champcueil,01 64 99 70 21,,22.6,bakery
Boulangerie,Mathurin,Larchant,01 64 29 76 97,,15.5,bakery
Boulangerie,Pineau,Melun,01 64 37 04 23,,15.4,bakery
Boulangerie,L'Echoppe aux Douceurs,Moret-sur-Loing,01 60 70 57 29,,9.3,bakery
Boulangerie,La Baguette Dorée,Nandy,09 86 28 67 17,,20.9,bakery
Boulangerie,Bread&Bio,Saint-Germain-Laxis,01 64 52 48 42,,19.8,bakery
Boulangerie,Aux Délices De Saint-Mammès,Saint-Mammès,01 64 23 39 75,,7.9,bakery
Boulangerie,Saveurs et Traditions,Saint-Pierre-lès-Nemours,01 64 28 91 64,,15.0,bakery
Boulangerie,Le fourmil de La Rochette,Vaux-le-Pénil,01 64 19 08 91,,13.5,bakery
Boulangerie,Zetrini,Vert-Saint-Denis,01 60 63 05 60,,19.1,bakery
Cafe,Café Restaurant La Terrasse,Seine-Port,01 60 63 52 83,,20.5,cafe
Coiffeur,MV coiffure,Avon,01 64 22 39 29,,2.0,hairdresser
Coiffeur,Viva La Vie Expression Coiffure,Avon,01 60 72 85 99,,1.9,hairdresser
Coiffeur,L'instant Coiffure,La Chapelle-la-Reine,09 84 14 31 35,,13.7,hairdresser
Coiffeur,Nuance,Malesherbes,02 38 34 80 91,,24.3,hairdresser
Coiffeur,Institut Coiffure Création,Melun,01 64 52 00 82,,16.2,hairdresser
Coiffeur,Le Petit Barbier,Moret-sur-Loing,06 16 77 33 36,,9.3,hairdresser
Coiffeur,Hair Du Temps,Pringy,09 84 25 32 27,,17.5,hairdresser
Coiffeur,Chez Josy Coiffures,Seine-Port,01 60 63 22 48,,20.5,hairdresser
Coiffeur,FG Coiffure,Seine-Port,01 60 63 24 25,,20.4,hairdresser
Coiffeur,Barbamama,Vert-Saint-Denis,01 60 63 36 74,,19.1,hairdresser
Coiffeur,New Style Coiffure,Vert-Saint-Denis,01 64 41 81 57,,19.1,hairdresser
Couvreur,TSC Bati Pro Services,MAISSE,01 64 99 78 66,,22.9,roofer
Cuir,ID Cuir,Cesson,01 60 63 43 09,,21.8,leather
Cuisiniste,CBM,Moret-Loing-et-Orvanne,09 81 04 26 80,,9.5,kitchen
Fireplace,Flam Et Design,Pringy,01 64 38 14 98,,17.7,fireplace
